reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0d540b41-3ca0-4dc2-bbe3-d29841bc98d9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi yang cukup menghibur d waktu lagi sendiri,4,0,36.4.4,2024-09-12 02:42:05,,,36.4.4
4aeca9c4-62a2-415e-8a7a-beecd2cf13f4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Keren,5,0,36.3.3,2024-09-12 02:42:02,,,36.3.3
64396fb8-5501-4ef9-ba50-7263f9ab9884,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ini tiktok yang size besar kenapa ngaak bisa di buka sehingga saya harus menggunakan tik-tok yang size lebih kecil bisa di buka perbaiki segera. Saran saya kalau tiktok besar tidak bisa di buka di hp anda uninstall saja dan install tiktok lite yang size kecil dan tidak bikin hp error.,1,0,21.3.41,2024-09-12 02:40:18,,,21.3.41
905c579d-ad27-4607-a1bb-e52cb42e61f2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tiktok ada yang ganteng semua laki laki,5,0,36.0.4,2024-09-12 02:39:38,,,36.0.4
4f1d1f98-6666-431c-90fa-8348ef4e2d04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Emang nya bagus iya video nya,5,0,,2024-09-12 02:39:26,,,
8d8e400c-a203-4111-98b2-19dfaae4cc1a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lelet tiba2 bisa keluar sendiri aneh banget,1,0,,2024-09-12 02:39:05,,,
9adab338-d9f4-41a9-8d56-c2b0dec61e1f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus bangettt,2,0,36.4.4,2024-09-12 02:39:01,,,36.4.4
52ebd7f7-2a40-4188-b613-b3f757a89a83,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tidak bisa di buka setelah update!,1,0,,2024-09-12 02:36:28,,,
28e1295e-a14e-4a68-9e5a-66afaaff9217,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sering bngt di uninstall jdi bkn jengkel,1,0,,2024-09-12 02:36:22,,,
ed3f723c-4854-44c8-bbfc-8ceb250c0baa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Terhibur juga ada nya TikTok,5,0,,2024-09-12 02:36:13,,,
